College/School,Department,Intended Major,Neither Parent has 4 Year College Degree,Applicant Headcounts,Academic Yr,('SIRed')
Clg of Letters & Science,Ethnic Studies,Ethnic Studies,U,0,2017-18,(SIRed)
Clg of Letters & Science,Ethnic Studies,Ethnic Studies,Y,3,2015-16,(SIRed)
Clg of Letters & Science,Ethnic Studies,Ethnic Studies,Y,8,2016-17,(SIRed)
Clg of Letters & Science,Ethnic Studies,Ethnic Studies,Y,2,2017-18,(SIRed)
Clg of Letters & Science,Ethnic Studies,Native American Studies,N,,2015-16,(SIRed)
Clg of Letters & Science,Ethnic Studies,Native American Studies,N,0,2016-17,(SIRed)
Clg of Letters & Science,Ethnic Studies,Native American Studies,N,1,2017-18,(SIRed)
Clg of Letters & Science,Ethnic Studies,Native American Studies,U,,2015-16,(SIRed)
Clg of Letters & Science,Ethnic Studies,Native American Studies,U,0,2017-18,(SIRed)
Clg of Letters & Science,Ethnic Studies,Native American Studies,Y,1,2015-16,(SIRed)
Clg of Letters & Science,Ethnic Studies,Native American Studies,Y,0,2016-17,(SIRed)
Clg of Letters & Science,Ethnic Studies,Native American Studies,Y,1,2017-18,(SIRed)
Clg of Letters & Science,Film and Media,Film,N,16,2015-16,(SIRed)
Clg of Letters & Science,Film and Media,Film,N,25,2016-17,(SIRed)
Clg of Letters & Science,Film and Media,Film,N,30,2017-18,(SIRed)
Clg of Letters & Science,Film and Media,Film,U,1,2015-16,(SIRed)
Clg of Letters & Science,Film and Media,Film,U,0,2016-17,(SIRed)
Clg of Letters & Science,Film and Media,Film,U,0,2017-18,(SIRed)
Clg of Letters & Science,Film and Media,Film,Y,12,2015-16,(SIRed)
Clg of Letters & Science,Film and Media,Film,Y,19,2016-17,(SIRed)
Clg of Letters & Science,Film and Media,Film,Y,15,2017-18,(SIRed)
Clg of Letters & Science,French,French,N,1,2015-16,(SIRed)
Clg of Letters & Science,French,French,N,2,2016-17,(SIRed)
Clg of Letters & Science,French,French,N,5,2017-18,(SIRed)
Clg of Letters & Science,French,French,U,0,2016-17,(SIRed)
Clg of Letters & Science,French,French,Y,6,2015-16,(SIRed)
Clg of Letters & Science,French,French,Y,3,2016-17,(SIRed)
Clg of Letters & Science,French,French,Y,2,2017-18,(SIRed)
Clg of Letters & Science,Gender & Womens Studies,Gender & Womens Studies,N,7,2015-16,(SIRed)
Clg of Letters & Science,Gender & Womens Studies,Gender & Womens Studies,N,9,2016-17,(SIRed)
Clg of Letters & Science,Gender & Womens Studies,Gender & Womens Studies,N,6,2017-18,(SIRed)
Clg of Letters & Science,Gender & Womens Studies,Gender & Womens Studies,U,1,2015-16,(SIRed)
Clg of Letters & Science,Gender & Womens Studies,Gender & Womens Studies,U,1,2016-17,(SIRed)
Clg of Letters & Science,Gender & Womens Studies,Gender & Womens Studies,U,0,2017-18,(SIRed)
Clg of Letters & Science,Gender & Womens Studies,Gender & Womens Studies,Y,6,2015-16,(SIRed)
Clg of Letters & Science,Gender & Womens Studies,Gender & Womens Studies,Y,5,2016-17,(SIRed)
Clg of Letters & Science,Gender & Womens Studies,Gender & Womens Studies,Y,6,2017-18,(SIRed)
Clg of Letters & Science,Geography,Geography,N,4,2015-16,(SIRed)
Clg of Letters & Science,Geography,Geography,N,7,2016-17,(SIRed)
Clg of Letters & Science,Geography,Geography,N,7,2017-18,(SIRed)
Clg of Letters & Science,Geography,Geography,U,1,2015-16,(SIRed)
Clg of Letters & Science,Geography,Geography,U,0,2016-17,(SIRed)
Clg of Letters & Science,Geography,Geography,U,1,2017-18,(SIRed)
Clg of Letters & Science,Geography,Geography,Y,5,2015-16,(SIRed)
Clg of Letters & Science,Geography,Geography,Y,5,2016-17,(SIRed)
Clg of Letters & Science,Geography,Geography,Y,5,2017-18,(SIRed)
Clg of Letters & Science,German,Dutch Studies,N,0,2016-17,(SIRed)
Clg of Letters & Science,German,Dutch Studies,N,1,2017-18,(SIRed)
Clg of Letters & Science,German,Dutch Studies,Y,0,2016-17,(SIRed)
Clg of Letters & Science,German,German,N,2,2015-16,(SIRed)
Clg of Letters & Science,German,German,N,3,2016-17,(SIRed)
Clg of Letters & Science,German,German,N,4,2017-18,(SIRed)
Clg of Letters & Science,German,German,Y,2,2015-16,(SIRed)
Clg of Letters & Science,German,German,Y,0,2016-17,(SIRed)
Clg of Letters & Science,German,German,Y,1,2017-18,(SIRed)
Clg of Letters & Science,History,History,N,26,2015-16,(SIRed)
Clg of Letters & Science,History,History,N,32,2016-17,(SIRed)
Clg of Letters & Science,History,History,N,20,2017-18,(SIRed)
Clg of Letters & Science,History,History,U,3,2015-16,(SIRed)
Clg of Letters & Science,History,History,U,2,2016-17,(SIRed)
Clg of Letters & Science,History,History,U,0,2017-18,(SIRed)
Clg of Letters & Science,History,History,Y,31,2015-16,(SIRed)
Clg of Letters & Science,History,History,Y,29,2016-17,(SIRed)
Clg of Letters & Science,History,History,Y,27,2017-18,(SIRed)
Clg of Letters & Science,History of Art,History of Art,N,18,2015-16,(SIRed)
Clg of Letters & Science,History of Art,History of Art,N,19,2016-17,(SIRed)
Clg of Letters & Science,History of Art,History of Art,N,13,2017-18,(SIRed)
Clg of Letters & Science,History of Art,History of Art,U,1,2015-16,(SIRed)
Clg of Letters & Science,History of Art,History of Art,U,0,2016-17,(SIRed)
Clg of Letters & Science,History of Art,History of Art,U,0,2017-18,(SIRed)
Clg of Letters & Science,History of Art,History of Art,Y,8,2015-16,(SIRed)
Clg of Letters & Science,History of Art,History of Art,Y,14,2016-17,(SIRed)
Clg of Letters & Science,History of Art,History of Art,Y,9,2017-18,(SIRed)
Clg of Letters & Science,Integrative Biology,Integrative Biology,N,10,2015-16,(SIRed)
Clg of Letters & Science,Integrative Biology,Integrative Biology,N,6,2016-17,(SIRed)
Clg of Letters & Science,Integrative Biology,Integrative Biology,N,17,2017-18,(SIRed)
Clg of Letters & Science,Integrative Biology,Integrative Biology,U,,2015-16,(SIRed)
Clg of Letters & Science,Integrative Biology,Integrative Biology,U,0,2016-17,(SIRed)
Clg of Letters & Science,Integrative Biology,Integrative Biology,U,0,2017-18,(SIRed)
Clg of Letters & Science,Integrative Biology,Integrative Biology,Y,4,2015-16,(SIRed)
Clg of Letters & Science,Integrative Biology,Integrative Biology,Y,8,2016-17,(SIRed)
Clg of Letters & Science,Integrative Biology,Integrative Biology,Y,5,2017-18,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Asian Studies - China,N,2,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Asian Studies - China,N,4,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Asian Studies - China,U,,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Asian Studies - China,U,1,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Asian Studies - China,Y,2,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Asian Studies - China,Y,3,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Asian Studies - Japan,N,3,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Asian Studies - Japan,N,10,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Asian Studies - Japan,U,1,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Asian Studies - Japan,U,0,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Asian Studies - Japan,Y,1,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Asian Studies - Japan,Y,0,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Cognitive Science,N,9,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Cognitive Science,N,12,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Cognitive Science,N,18,2017-18,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Cognitive Science,U,,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Cognitive Science,U,2,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Cognitive Science,U,0,2017-18,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Cognitive Science,Y,7,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Cognitive Science,Y,6,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Cognitive Science,Y,10,2017-18,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Development Studies,N,18,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Development Studies,N,18,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Development Studies,U,,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Development Studies,U,2,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Development Studies,Y,7,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Development Studies,Y,14,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Global Studies,N,24,2017-18,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Global Studies,U,1,2017-18,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Global Studies,Y,12,2017-18,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Latin American Studies,N,,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Latin American Studies,N,0,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Latin American Studies,U,1,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Latin American Studies,Y,3,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Latin American Studies,Y,2,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Middle Eastern Studies,N,4,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Middle Eastern Studies,N,2,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Middle Eastern Studies,U,,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Middle Eastern Studies,U,0,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Middle Eastern Studies,Y,1,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Middle Eastern Studies,Y,1,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Peace & Conflict Studies,N,25,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Peace & Conflict Studies,N,15,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Peace & Conflict Studies,U,2,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Peace & Conflict Studies,U,0,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Peace & Conflict Studies,Y,15,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Peace & Conflict Studies,Y,12,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Political Economy,N,33,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Political Economy,N,29,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Political Economy,N,39,2017-18,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Political Economy,U,2,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Political Economy,U,0,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Political Economy,U,2,2017-18,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Political Economy,Y,18,2015-16,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Political Economy,Y,28,2016-17,(SIRed)
Clg of Letters & Science,Interdisc Social Science Pgms,Political Economy,Y,21,2017-18,(SIRed)
Clg of Letters & Science,Italian Studies,Italian,N,,2015-16,(SIRed)
Clg of Letters & Science,Italian Studies,Italian,Y,,2015-16,(SIRed)
Clg of Letters & Science,Italian Studies,Italian Studies,N,0,2016-17,(SIRed)
Clg of Letters & Science,Italian Studies,Italian Studies,U,0,2016-17,(SIRed)
Clg of Letters & Science,Italian Studies,Italian Studies,Y,1,2016-17,(SIRed)
Clg of Letters & Science,Italian Studies,Italian Studies,Y,0,2017-18,(SIRed)
Clg of Letters & Science,L&S Chemistry,L&S Chemistry,N,5,2015-16,(SIRed)
Clg of Letters & Science,L&S Chemistry,L&S Chemistry,N,1,2016-17,(SIRed)
Clg of Letters & Science,L&S Chemistry,L&S Chemistry,N,5,2017-18,(SIRed)
Clg of Letters & Science,L&S Chemistry,L&S Chemistry,U,,2015-16,(SIRed)
Clg of Letters & Science,L&S Chemistry,L&S Chemistry,U,0,2016-17,(SIRed)
Clg of Letters & Science,L&S Chemistry,L&S Chemistry,U,0,2017-18,(SIRed)
Clg of Letters & Science,L&S Chemistry,L&S Chemistry,Y,,2015-16,(SIRed)
Clg of Letters & Science,L&S Chemistry,L&S Chemistry,Y,1,2016-17,(SIRed)
Clg of Letters & Science,L&S Chemistry,L&S Chemistry,Y,4,2017-18,(SIRed)
Clg of Letters & Science,L&S Computer Science,L&S Computer Science,N,20,2015-16,(SIRed)
Clg of Letters & Science,L&S Computer Science,L&S Computer Science,N,27,2016-17,(SIRed)
Clg of Letters & Science,L&S Computer Science,L&S Computer Science,N,19,2017-18,(SIRed)
Clg of Letters & Science,L&S Computer Science,L&S Computer Science,U,2,2015-16,(SIRed)
Clg of Letters & Science,L&S Computer Science,L&S Computer Science,U,1,2016-17,(SIRed)
Clg of Letters & Science,L&S Computer Science,L&S Computer Science,U,1,2017-18,(SIRed)
Clg of Letters & Science,L&S Computer Science,L&S Computer Science,Y,16,2015-16,(SIRed)
Clg of Letters & Science,L&S Computer Science,L&S Computer Science,Y,14,2016-17,(SIRed)
Clg of Letters & Science,L&S Computer Science,L&S Computer Science,Y,31,2017-18,(SIRed)
Clg of Letters & Science,L&S Envir Econ & Policy,L&S Environ Econ & Policy,N,6,2015-16,(SIRed)
Clg of Letters & Science,L&S Envir Econ & Policy,L&S Environ Econ & Policy,N,13,2016-17,(SIRed)
Clg of Letters & Science,L&S Envir Econ & Policy,L&S Environ Econ & Policy,N,14,2017-18,(SIRed)
Clg of Letters & Science,L&S Envir Econ & Policy,L&S Environ Econ & Policy,U,0,2016-17,(SIRed)
Clg of Letters & Science,L&S Envir Econ & Policy,L&S Environ Econ & Policy,U,0,2017-18,(SIRed)
Clg of Letters & Science,L&S Envir Econ & Policy,L&S Environ Econ & Policy,Y,8,2015-16,(SIRed)
Clg of Letters & Science,L&S Envir Econ & Policy,L&S Environ Econ & Policy,Y,8,2016-17,(SIRed)
Clg of Letters & Science,L&S Envir Econ & Policy,L&S Environ Econ & Policy,Y,9,2017-18,(SIRed)
Clg of Letters & Science,L&S Legal Studies,L&S Legal Studies,N,10,2015-16,(SIRed)
Clg of Letters & Science,L&S Legal Studies,L&S Legal Studies,N,16,2016-17,(SIRed)
Clg of Letters & Science,L&S Legal Studies,L&S Legal Studies,N,10,2017-18,(SIRed)
Clg of Letters & Science,L&S Legal Studies,L&S Legal Studies,U,,2015-16,(SIRed)
Clg of Letters & Science,L&S Legal Studies,L&S Legal Studies,U,1,2016-17,(SIRed)
Clg of Letters & Science,L&S Legal Studies,L&S Legal Studies,U,1,2017-18,(SIRed)
Clg of Letters & Science,L&S Legal Studies,L&S Legal Studies,Y,9,2015-16,(SIRed)
Clg of Letters & Science,L&S Legal Studies,L&S Legal Studies,Y,11,2016-17,(SIRed)
Clg of Letters & Science,L&S Legal Studies,L&S Legal Studies,Y,12,2017-18,(SIRed)
Clg of Letters & Science,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,N,5,2015-16,(SIRed)
Clg of Letters & Science,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,N,4,2016-17,(SIRed)
Clg of Letters & Science,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,N,4,2017-18,(SIRed)
Clg of Letters & Science,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,U,0,2016-17,(SIRed)
Clg of Letters & Science,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,U,1,2017-18,(SIRed)
Clg of Letters & Science,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Y,,2015-16,(SIRed)
Clg of Letters & Science,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Y,1,2016-17,(SIRed)
Clg of Letters & Science,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Y,1,2017-18,(SIRed)
Clg of Letters & Science,L&S Public Health,L&S Public Health,N,3,2015-16,(SIRed)
Clg of Letters & Science,L&S Public Health,L&S Public Health,N,9,2016-17,(SIRed)
Clg of Letters & Science,L&S Public Health,L&S Public Health,N,9,2017-18,(SIRed)
Clg of Letters & Science,L&S Public Health,L&S Public Health,U,,2015-16,(SIRed)
Clg of Letters & Science,L&S Public Health,L&S Public Health,U,0,2016-17,(SIRed)
Clg of Letters & Science,L&S Public Health,L&S Public Health,U,0,2017-18,(SIRed)
Clg of Letters & Science,L&S Public Health,L&S Public Health,Y,6,2015-16,(SIRed)
Clg of Letters & Science,L&S Public Health,L&S Public Health,Y,7,2016-17,(SIRed)
Clg of Letters & Science,L&S Public Health,L&S Public Health,Y,11,2017-18,(SIRed)
Clg of Letters & Science,L&S Social Welfare,L&S Social Welfare,N,6,2015-16,(SIRed)
Clg of Letters & Science,L&S Social Welfare,L&S Social Welfare,N,12,2016-17,(SIRed)
Clg of Letters & Science,L&S Social Welfare,L&S Social Welfare,N,12,2017-18,(SIRed)
Clg of Letters & Science,L&S Social Welfare,L&S Social Welfare,U,,2015-16,(SIRed)
Clg of Letters & Science,L&S Social Welfare,L&S Social Welfare,U,0,2016-17,(SIRed)
Clg of Letters & Science,L&S Social Welfare,L&S Social Welfare,U,1,2017-18,(SIRed)
Clg of Letters & Science,L&S Social Welfare,L&S Social Welfare,Y,10,2015-16,(SIRed)
Clg of Letters & Science,L&S Social Welfare,L&S Social Welfare,Y,16,2016-17,(SIRed)
Clg of Letters & Science,L&S Social Welfare,L&S Social Welfare,Y,10,2017-18,(SIRed)
Clg of Letters & Science,L&S Undeclared,Intending Math/Phys/Bio Sci,N,0,2016-17,(SIRed)
Clg of Letters & Science,L&S Undeclared,Intending Math/Phys/Bio Sci,Y,0,2016-17,(SIRed)
Clg of Letters & Science,L&S Undeclared,Intending Unspecified L&S,N,,2015-16,(SIRed)
Clg of Letters & Science,L&S Undeclared,Intending Unspecified L&S,N,8,2016-17,(SIRed)
Clg of Letters & Science,L&S Undeclared,Intending Unspecified L&S,U,1,2016-17,(SIRed)
Clg of Letters & Science,L&S Undeclared,Intending Unspecified L&S,Y,3,2016-17,(SIRed)
Clg of Letters & Science,L&S Undeclared,Letters & Sci Undeclared,N,20,2015-16,(SIRed)
Clg of Letters & Science,L&S Undeclared,Letters & Sci Undeclared,Y,3,2015-16,(SIRed)
Clg of Letters & Science,Linguistics,Linguistics,N,7,2015-16,(SIRed)
Clg of Letters & Science,Linguistics,Linguistics,N,14,2016-17,(SIRed)
Clg of Letters & Science,Linguistics,Linguistics,N,10,2017-18,(SIRed)
Clg of Letters & Science,Linguistics,Linguistics,U,2,2015-16,(SIRed)
Clg of Letters & Science,Linguistics,Linguistics,U,1,2016-17,(SIRed)
Clg of Letters & Science,Linguistics,Linguistics,U,1,2017-18,(SIRed)
Clg of Letters & Science,Linguistics,Linguistics,Y,5,2015-16,(SIRed)
Clg of Letters & Science,Linguistics,Linguistics,Y,9,2016-17,(SIRed)
Clg of Letters & Science,Linguistics,Linguistics,Y,9,2017-18,(SIRed)
Clg of Letters & Science,Mathematics,Applied Mathematics,N,35,2015-16,(SIRed)
Clg of Letters & Science,Mathematics,Applied Mathematics,N,41,2016-17,(SIRed)
Clg of Letters & Science,Mathematics,Applied Mathematics,N,61,2017-18,(SIRed)
Clg of Letters & Science,Mathematics,Applied Mathematics,U,6,2015-16,(SIRed)
Clg of Letters & Science,Mathematics,Applied Mathematics,U,1,2016-17,(SIRed)
Clg of Letters & Science,Mathematics,Applied Mathematics,U,5,2017-18,(SIRed)
Clg of Letters & Science,Mathematics,Applied Mathematics,Y,29,2015-16,(SIRed)
Clg of Letters & Science,Mathematics,Applied Mathematics,Y,33,2016-17,(SIRed)
Clg of Letters & Science,Mathematics,Applied Mathematics,Y,46,2017-18,(SIRed)
Clg of Letters & Science,Mathematics,Mathematics,N,21,2015-16,(SIRed)
Clg of Letters & Science,Mathematics,Mathematics,N,32,2016-17,(SIRed)
Clg of Letters & Science,Mathematics,Mathematics,N,16,2017-18,(SIRed)
Clg of Letters & Science,Mathematics,Mathematics,U,1,2015-16,(SIRed)
Clg of Letters & Science,Mathematics,Mathematics,U,4,2016-17,(SIRed)
Clg of Letters & Science,Mathematics,Mathematics,U,1,2017-18,(SIRed)
Clg of Letters & Science,Mathematics,Mathematics,Y,20,2015-16,(SIRed)
Clg of Letters & Science,Mathematics,Mathematics,Y,35,2016-17,(SIRed)
Clg of Letters & Science,Mathematics,Mathematics,Y,20,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Biochem & Mol Biol,N,12,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Biochem & Mol Biol,N,15,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Biochem & Mol Biol,N,17,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Biochem & Mol Biol,U,,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Biochem & Mol Biol,U,1,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Biochem & Mol Biol,U,1,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Biochem & Mol Biol,Y,12,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Biochem & Mol Biol,Y,21,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Biochem & Mol Biol,Y,17,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Cell & Dev Biology,N,5,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Cell & Dev Biology,N,14,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Cell & Dev Biology,N,9,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Cell & Dev Biology,U,,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Cell & Dev Biology,U,0,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Cell & Dev Biology,U,1,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Cell & Dev Biology,Y,5,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Cell & Dev Biology,Y,7,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Cell & Dev Biology,Y,8,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Genetics,N,3,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Genetics,N,3,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Genetics,N,2,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Genetics,U,,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Genetics,U,0,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Genetics,Y,1,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Genetics,Y,1,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Genetics,Y,4,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Immunology,N,4,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Immunology,N,2,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Immunology,N,3,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Immunology,U,,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Immunology,U,0,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Immunology,U,0,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Immunology,Y,4,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Immunology,Y,2,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Immunology,Y,4,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Neurobiology,N,7,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Neurobiology,N,4,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Neurobiology,N,3,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Neurobiology,U,,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Neurobiology,U,1,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Neurobiology,U,0,2017-18,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Neurobiology,Y,5,2015-16,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Neurobiology,Y,5,2016-17,(SIRed)
Clg of Letters & Science,Molecular & Cell Biology,MCB-Neurobiology,Y,5,2017-18,(SIRed)
Clg of Letters & Science,Music,Music,N,14,2015-16,(SIRed)
Clg of Letters & Science,Music,Music,N,1,2016-17,(SIRed)
Clg of Letters & Science,Music,Music,N,6,2017-18,(SIRed)
Clg of Letters & Science,Music,Music,U,,2015-16,(SIRed)
Clg of Letters & Science,Music,Music,U,3,2016-17,(SIRed)
Clg of Letters & Science,Music,Music,U,0,2017-18,(SIRed)
Clg of Letters & Science,Music,Music,Y,6,2015-16,(SIRed)
Clg of Letters & Science,Music,Music,Y,8,2016-17,(SIRed)
Clg of Letters & Science,Music,Music,Y,9,2017-18,(SIRed)
Clg of Letters & Science,Near Eastern Studies,Ancnt Egypt/NE Art & Archae,N,1,2015-16,(SIRed)
Clg of Letters & Science,Near Eastern Studies,Ancnt Egypt/NE Art & Archae,N,1,2016-17,(SIRed)
Clg of Letters & Science,Near Eastern Studies,Ancnt Egypt/NE Art & Archae,N,1,2017-18,(SIRed)
Clg of Letters & Science,Near Eastern Studies,Ancnt Egypt/NE Art & Archae,U,,2015-16,(SIRed)
Clg of Letters & Science,Near Eastern Studies,Ancnt Egypt/NE Art & Archae,U,0,2016-17,(SIRed)
Clg of Letters & Science,Near Eastern Studies,Ancnt Egypt/NE Art & Archae,Y,1,2015-16,(SIRed)
Clg of Letters & Science,Near Eastern Studies,Ancnt Egypt/NE Art & Archae,Y,1,2016-17,(SIRed)
Clg of Letters & Science,Near Eastern Studies,Ancnt Egypt/NE Art & Archae,Y,0,2017-18,(SIRed)
Clg of Letters & Science,Near Eastern Studies,Near Eastern Civilizations,N,,2015-16,(SIRed)
Clg of Letters & Science,Near Eastern Studies,Near Eastern Civilizations,N,2,2016-17,(SIRed)
Clg of Letters & Science,Near Eastern Studies,Near Eastern Civilizations,N,1,2017-18,(SIRed)
Clg of Letters & Science,Near Eastern Studies,Near Eastern Civilizations,U,1,2016-17,(SIRed)
Clg of Letters & Science,Near Eastern Studies,Near Eastern Civilizations,Y,1,2015-16,(SIRed)
