College/School,Department,Intended Major,Neither Parent has 4 Year College Degree,Applicant Headcounts,Academic Yr,('SIRed')
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,Y,12,2016-17,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,Y,10,2017-18,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,N,40,2015-16,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,N,40,2016-17,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,N,44,2017-18,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,U,,2015-16,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,U,2,2016-17,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,U,2,2017-18,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Y,38,2015-16,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Y,42,2016-17,(SIRed)
Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Y,54,2017-18,(SIRed)
Clg of Engineering,Engineering Joint Programs,EECS/MSE Joint Major,Y,,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,N,,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,N,1,2016-17,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,N,3,2017-18,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,U,,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,U,0,2017-18,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,Y,,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,Y,0,2016-17,(SIRed)
Clg of Engineering,Engineering Science,Energy Engineering,Y,0,2017-18,(SIRed)
Clg of Engineering,Engineering Science,Eng Math & Statistics,N,,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Eng Math & Statistics,N,0,2016-17,(SIRed)
Clg of Engineering,Engineering Science,Eng Math & Statistics,N,2,2017-18,(SIRed)
Clg of Engineering,Engineering Science,Eng Math & Statistics,U,0,2016-17,(SIRed)
Clg of Engineering,Engineering Science,Eng Math & Statistics,Y,1,2015-16,(SIRed)
Clg of Engineering,Engineering Science,Eng Math & Statistics,Y,0,2016-17,(SIRed)
